question;answer;score_1;score_2
Based on the provided information, what were CSX's cash and cash equivalents at the end of 2022, how did this figure relate to its current debt, and what conclusion does the text draw from this comparison?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
According to the report, what EU rule does Apple's anti-steering obligation allegedly breach, and which company filed the 2019 complaint that sparked the case?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.5;0.5
What two changes does the SAVE repayment plan introduce for undergraduate loans, as described by Matt Frankel, regarding discretionary income payments and the poverty-line threshold?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
What position will Natascha Viljoen assume after stepping down as CEO of Anglo American Platinum, and at which company will she take this role?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
According to the report, what factors contributed to the S&P 500 and Nasdaq closing weaker on Tuesday?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
What was Apple's revenue in the second quarter, and what notable achievement did Apple report for its services revenue despite the challenging macroeconomic environment?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
According to the article, which five ETFs dominated the top creation list last week?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
Among the three dividend stocks highlighted—Microsoft, Apple, and Starbucks—which company is noted to have a 12-year streak of annual dividend increases and currently yields about 2%?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
According to ETF Channel's analysis of PBUS's underlying holdings, what is the implied 12-month target price per unit for the Invesco PureBeta MSCI USA ETF (PBUS), and what is the corresponding upside relative to its recent price?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
Which real estate investment trust is described as 'The Monthly Dividend Company' and has a 4.9% dividend yield in the article?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;1.0;0.5
Which ETF recorded the largest week-over-week inflow, and what was the size of that inflow in units and its percentage change?;The SPDR Portfolio S&P 500 ETF (SPLG) recorded the largest week-over-week inflow, adding 14,900,000 units, a 3.7% increase.;0.0;0.0
